TIPO_DATO;LOTE;COD_DISTRITO;DISTRITO;COD_BARRIO;BARRIO;DIRECCION_COMPLETA;DIRECCION_AUXILIAR;CENTRO;VIA_CLASE;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;MAS INFORMACIÓN;DIRECCION AMPLIADA
Contenedor de Ropa;1;1;Centro;11;Palacio;CALLE DE LEGANITOS, 47;;;CALLE;LEGANITOS;número;47;-3,711037;40,422991;40,42299073;-3,71103722;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;CALLE DE LEGANITOS, 47. 
Contenedor de Ropa;1;1;Centro;11;Palacio;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO, 21;;;AVENIDA;GRAN VIA DE SAN FRANCISCO;número;21;-3,713901;40,409966;40,40996568;-3,71390117;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;AVENIDA DE LA GRAN VIA DE SAN FRANCISCO, 21. 
Contenedor de Ropa;1;1;Centro;11;Palacio;RONDA DE SEGOVIA, 2;;;RONDA;SEGOVIA;número;2;-3,718317;40,411368;40,4113676;-3,71831698;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;RONDA DE SEGOVIA, 2. 
Contenedor de Ropa;1;1;Centro;11;Palacio;PLAZA DE GABRIEL MIRO, 5;;;PLAZA;GABRIEL MIRO;número;5;-3,714769;40,412085;40,41208545;-3,71476911;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;PLAZA DE GABRIEL MIRO, 5. 
Contenedor de Ropa;1;1;Centro;11;Palacio;CALLE DE SILVA, 2;;;CALLE;SILVA;número;2;-3,708119;40,420561;40,42056096;-3,70811853;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;CALLE DE SILVA, 2. 
Contenedor de ropa;1;1;Centro;12;Embajadores;PLAZA DEL CAMPILLO DEL MUNDO NUEVO, 3;;Mercadillo en la vía pública de Parque de la Cornisa ;PLAZA;CAMPILLO DEL MUNDO NUEVO;número;3;-3,70798;40,4065;40,4065;-3,70798;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;PLAZA DEL CAMPILLO DEL MUNDO NUEVO, 3. Mercadillo en la vía pública de Parque de la Cornisa 
Contenedor de ropa;1;1;Centro;12;Embajadores;CALLE DEL CASINO, 12;;Punto limpio de proximidad - Parque Casino de la Reina;CALLE;CASINO;número;12;-3,70503;40,40676;40,40676001;-3,70502994;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;CALLE DEL CASINO, 12. Punto limpio de proximidad - Parque Casino de la Reina
Contenedor de Ropa;1;1;Centro;12;Embajadores;CALLE DE ARGUMOSA, 32;;;CALLE;ARGUMOSA;número;32;-3,695725;40,407208;40,40720815;-3,69572495;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;CALLE DE ARGUMOSA, 32. 
Contenedor de Ropa;1;1;Centro;12;Embajadores;CALLE DE MIGUEL SERVET, 23;;;CALLE;MIGUEL SERVET;número;23;-3,702026;40,405845;40,40584528;-3,70202564;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;CALLE DE MIGUEL SERVET, 23. 
Contenedor de Ropa;1;1;Centro;12;Embajadores;RONDA DE VALENCIA, 2;;;RONDA;VALENCIA;número;2;-3,699936;40,405862;40,40586161;-3,69993601;Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios;RONDA DE VALENCIA, 2. 
