LATITUDE,LONGITUDE,near_nature,near_river,place,Population,Residuos de Construcción y Demolición,Papel y Cartón,Plásticos y Caucho,Metales y Aleaciones,Sustancias Químicas Peligrosas y Materiales,Madera y Corcho,Vidrio,puntos_negros
40.3575656,-3.6427866,1,1,Madrid,3340176,1,1,1,0,0,0,0,1
40.3070184,-3.770006,1,1,Leganés,190974,1,0,1,1,0,0,0,1
40.35712368,-3.795672805,1,1,Alcorcón,172845,0,0,1,0,0,0,0,1
40.484011,-3.5191595,1,1,Paracuellos de Jarama,27034,1,0,0,0,0,0,0,1
40.4870213,-3.5222977,1,1,Paracuellos de Jarama,27034,1,0,0,0,0,0,0,1
40.4944601,-3.7289725,1,1,Madrid,3340176,1,0,0,0,0,0,0,1
40.518667,-3.766472,1,1,Madrid,3340176,0,0,0,0,1,0,0,1
40.4062127,-3.9923182,1,1,Brunete,10992,1,0,0,0,0,0,0,1
40.534741,-3.423488,1,1,Daganzo de Arriba,10601,1,0,0,0,0,0,0,1
40.624004,-3.580927,1,1,San Sebastián de los Reyes,92417,1,0,1,0,0,0,0,1
40.2726083,-3.9486846,1,1,Arroyomolinos,36102,1,0,0,0,0,0,0,1
40.856092,-3.543586,1,1,Torrelaguna,4944,1,0,0,0,0,0,0,1
40.500333,-3.478631,1,1,Ajalvir,4875,1,0,0,0,0,0,0,1
40.425295,-3.5312,1,1,San Fernando del Henares,38986,1,0,0,0,0,0,0,1
40.368905,-3.4475,1,1,Campo Real,6711,1,0,0,0,0,0,0,1
40.03215,-3.6057,1,1,Aranjuez,60998,1,0,0,0,0,0,0,1
40.140477,-3.561377,1,1,Chinchón,5670,1,0,0,0,0,0,0,1
40.416775,-3.70379,1,1,Madrid,3340176,1,0,0,0,0,0,0,1
40.300628,-3.4653,1,1,Arganda del Rey,58623,1,0,0,0,0,0,0,1
40.22763,-3.43832,1,1,Morata de Tajuña,8085,1,0,0,0,0,0,0,1
40.22763,-3.43832,1,1,Morata de Tajuña,8085,1,0,0,0,0,0,0,1
40.306736,-3.361961,1,1,Ambite,690,1,0,0,0,0,0,0,1
40.368657,-3.272055,1,1,Villar del Olmo,2256,1,0,0,0,0,0,0,1
40.163753,-3.36231,1,1,Villamanrique de Tajo,805,1,0,0,0,0,0,0,1
40.30825,-3.7319,1,1,Getafe,187525,1,0,0,0,0,0,0,1
40.23237,-3.76805,1,1,Parla,132842,1,0,0,0,0,0,0,1
40.2419,-3.69343,1,1,Pinto,55178,1,0,0,0,0,0,0,1
40.19065,-3.67895,1,1,Valdemoro,81619,1,0,0,0,0,0,0,1
40.33195,-3.76846,1,1,Leganés,190974,1,0,0,0,0,0,0,1
40.2856,-3.79415,1,1,Fuenlabrada,189287,1,0,0,0,0,0,0,1
40.346847,-3.8317,1,1,Alcorcón,172845,1,0,0,0,0,0,0,1
40.321335,-3.8657,1,1,Móstoles,210592,1,0,0,0,0,0,0,1
40.27719,-3.92419,1,1,Arroyomolinos,36102,1,0,0,0,0,0,0,1
40.321335,-3.8657,1,1,Móstoles,210592,1,0,0,0,0,0,0,1
40.473558,-3.8755,1,1,Majadahonda,72833,1,0,0,0,0,0,0,1
40.365612,-3.904955,1,1,Villaviciosa de Odón,28714,1,0,0,0,0,0,0,1
40.437927,-3.78638,1,1,Pozuelo de Alarcón,88504,1,0,0,0,0,0,0,1
