place,residue,population,near_nature,near_river,puntos_negros
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Metales y Aleaciones,193000.0,0.0,0.0,0
Fuenlabrada,Sustancias Químicas Peligrosas y Materiales,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Metales y Aleaciones,193000.0,0.0,0.0,0
Fuenlabrada,Vidrio,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Sustancias Químicas Peligrosas y Materiales,193000.0,0.0,0.0,0
Fuenlabrada,Sustancias Químicas Peligrosas y Materiales,193000.0,0.0,0.0,0
Fuenlabrada,Metales y Aleaciones,193000.0,0.0,0.0,0
Fuenlabrada,Plásticos y Caucho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Madera y Corcho,193000.0,0.0,0.0,0
Fuenlabrada,Papel y Cartón,193000.0,0.0,0.0,0
Fuenlabrada,Plásticos y Caucho,193000.0,0.0,0.0,0
Fuenlabrada,Sustancias Químicas Peligrosas y Materiales,193000.0,0.0,0.0,0
Fuenlabrada,Sustancias Químicas Peligrosas y Materiales,193000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Sustancias Químicas Peligrosas y Materiales,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Plásticos y Caucho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Metales y Aleaciones,55000.0,0.0,0.0,0
Arganda del Rey,Metales y Aleaciones,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Sustancias Químicas Peligrosas y Materiales,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Papel y Cartón,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Sustancias Químicas Peligrosas y Materiales,55000.0,0.0,0.0,0
Arganda del Rey,Sustancias Químicas Peligrosas y Materiales,55000.0,0.0,0.0,0
Arganda del Rey,Sustancias Químicas Peligrosas y Materiales,55000.0,0.0,0.0,0
Arganda del Rey,Vidrio,55000.0,0.0,0.0,0
Arganda del Rey,Madera y Corcho,55000.0,0.0,0.0,0
Arganda del Rey,Metales y Aleaciones,55000.0,0.0,0.0,0
Arganda del Rey,Plásticos y Caucho,55000.0,0.0,0.0,0
Madrid,Metales y Aleaciones,3223000.0,0.0,0.0,0
Madrid,Metales y Aleaciones,3223000.0,0.0,0.0,0
Madrid,Metales y Aleaciones,3223000.0,0.0,0.0,0
Madrid,Sustancias Químicas Peligrosas y Materiales,3223000.0,0.0,0.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Alcalá de Henares,Metales y Aleaciones,195000.0,0.0,0.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Móstoles,Sustancias Químicas Peligrosas y Materiales,209000.0,1.0,1.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Madera y Corcho,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Madera y Corcho,23000.0,0.0,0.0,0
Mejorada del Campo,Plásticos y Caucho,23000.0,0.0,0.0,0
Mejorada del Campo,Vidrio,23000.0,0.0,0.0,0
Mejorada del Campo,Vidrio,23000.0,0.0,0.0,0
Mejorada del Campo,Madera y Corcho,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Plásticos y Caucho,23000.0,0.0,0.0,0
Mejorada del Campo,Papel y Cartón,23000.0,0.0,0.0,0
Mejorada del Campo,Plásticos y Caucho,23000.0,0.0,0.0,0
Mejorada del Campo,Papel y Cartón,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Plásticos y Caucho,23000.0,0.0,0.0,0
Mejorada del Campo,Madera y Corcho,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Metales y Aleaciones,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Vidrio,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
Mejorada del Campo,Sustancias Químicas Peligrosas y Materiales,23000.0,0.0,0.0,0
